Unnamed: 0.1,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,QED,mol
4312,5082,CCC1=CC(=NN1)C(=O)NC(C(=O)O)C=2C=CC(OC)=C(F)C2,Z2296028182,321.304,321.304,2.024,-3.647,3,5,104.31,7,https://real.enamine.net/public-enum-files/Z2296028182,0.7506174593751975,<rdkit.Chem.rdchem.Mol object at 0x14308dc40>
4313,5083,COC=1C=CC=C(C1)C(C)(CC(=O)O)NC(=O)C=2N=CC=NC2N,Z2296066814,330.339,330.339,1.745,-2.152,3,7,127.43,7,https://real.enamine.net/public-enum-files/Z2296066814,0.7254646644447709,<rdkit.Chem.rdchem.Mol object at 0x14308dcb0>
4314,5084,COC=1C=CC=C(C1)C(C)(CC(=O)O)NC(=O)C2CC=CC2,Z2296067313,303.354,303.354,2.011,-2.707,2,4,75.63,7,https://real.enamine.net/public-enum-files/Z2296067313,0.7916121355965386,<rdkit.Chem.rdchem.Mol object at 0x14308dd20>
4315,5085,O=C(NC1CC21CCOCC2)C=3C=CC(=CN3)C(F)(F)F,Z2297573933,300.277,300.277,1.622,-2.369,1,3,51.22,4,https://real.enamine.net/public-enum-files/Z2297573933,0.9122130247087734,<rdkit.Chem.rdchem.Mol object at 0x14308dd90>
4316,5086,CC1=NNC(C)=C1C(C)C(=O)NC(CO)CC2=CC=C(C)C(C)=C2,Z2299580102,329.437,329.437,1.982,-3.498,3,3,78.01,7,https://real.enamine.net/public-enum-files/Z2299580102,0.7616577907579168,<rdkit.Chem.rdchem.Mol object at 0x14308de00>
4317,5087,O=C(O)C=1C=CC=C(C1)NS(=O)(=O)CC2CCCCC2(F)F,Z2300951390,333.353,333.353,2.954,-4.152,2,4,83.47,5,https://real.enamine.net/public-enum-files/Z2300951390,0.8676060855266197,<rdkit.Chem.rdchem.Mol object at 0x14308de70>
4323,5094,CN(C)C(=O)C1CCN(C1)C(=O)NC2CCC(CC2)C=3C=CC=CC3,Z2346940191,343.464,343.464,2.914,-3.393,1,2,52.65,6,https://real.enamine.net/public-enum-files/Z2346940191,0.9174223101805596,<rdkit.Chem.rdchem.Mol object at 0x14308e110>
4325,5096,CN(C(=O)NCC1=NN=C(S1)C2CC2)C3CCC(F)(F)CC3,Z2349416580,330.398,330.398,0.73,-2.925,1,3,58.12,4,https://real.enamine.net/public-enum-files/Z2349416580,0.922545444857277,<rdkit.Chem.rdchem.Mol object at 0x14308e1f0>
4327,5098,C[C@H](CC(=O)O)NS(=O)(=O)C1=CC=C(C#N)C=C1F,Z2351353411,286.281,286.281,1.459,-2.393,2,5,107.26,5,https://real.enamine.net/public-enum-files/Z2351353411,0.8335692746925637,<rdkit.Chem.rdchem.Mol object at 0x14308e2d0>
4329,5100,"CC=1C=CC(NC(=O)[C@H]2CC[C@H](C2)C(=O)O)=C(C1)OCC(F)(F)F |&1:8,11,r|",Z2352613430,345.314,345.314,2.409,-4.355,2,4,75.63,6,https://real.enamine.net/public-enum-files/Z2352613430,0.85782391851031,<rdkit.Chem.rdchem.Mol object at 0x14308e3b0>
4331,5102,O=C(O)C=1C=NC(=CN1)N2CCN(CC2)C(=O)COC=3C=CC(F)=CC3,Z2358548134,360.34,360.34,2.34,-2.858,1,7,95.86,5,https://real.enamine.net/public-enum-files/Z2358548134,0.8510291677389302,<rdkit.Chem.rdchem.Mol object at 0x14308e490>
