,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
8822,10336,CC(C=1C(F)=CC=CC1F)N2CCN(CC(N)=O)CC2,Z643153668,283.318,283.318,1.984,-1.431,1,3,49.57,4,https://real.enamine.net/public-enum-files/Z643153668,<rdkit.Chem.rdchem.Mol object at 0x17bb44190>,0.9009135055477838
8823,10337,COC=1C=C(C)C(=CC1OC)CN2CCN(CC2)C(C)C(=O)NC=3C=CC=CC3,Z89184052,397.512,397.512,3.927,-3.48,1,5,54.04,7,https://real.enamine.net/public-enum-files/Z89184052,<rdkit.Chem.rdchem.Mol object at 0x17bb44200>,0.7778633313405591
8824,10338,CC=1C=CC=C(C1C)N2CCN(CC2)C(=O)C3CCCC3,Z26850209,286.413,286.413,3.599,-4.591,0,2,23.55,3,https://real.enamine.net/public-enum-files/Z26850209,<rdkit.Chem.rdchem.Mol object at 0x17bb44270>,0.8336232976412985
8825,10341,O=C(CN1CCOC=2C=CC=CC21)NC3CCCCNC3=O,Z644428754,303.357,303.357,1.799,-2.8,2,4,70.67,4,https://real.enamine.net/public-enum-files/Z644428754,<rdkit.Chem.rdchem.Mol object at 0x17bb442e0>,0.8608999728041044
8826,10342,C1=CC(=CC=N1)CCN2CCC(CC2)N3CCCC3,Z644535132,259.391,259.391,1.05,-0.438,0,3,19.37,4,https://real.enamine.net/public-enum-files/Z644535132,<rdkit.Chem.rdchem.Mol object at 0x17bb44350>,0.8260247699915382
8827,10343,O=C(NC=1C=CC(F)=CC1)NC2CCN(C2)C(=O)NCC=3C=CC(F)=CC3,Z1015308142,374.385,374.385,3.235,-4.908,3,2,73.47,4,https://real.enamine.net/public-enum-files/Z1015308142,<rdkit.Chem.rdchem.Mol object at 0x17bb443c0>,0.7695617478549421
8828,10344,COC=1C=CC=C(C1)CS(=O)(=O)N2CC(C)(O)C2,Z2017344434,271.334,271.334,1.646,-1.984,1,4,66.84,4,https://real.enamine.net/public-enum-files/Z2017344434,<rdkit.Chem.rdchem.Mol object at 0x17bb44430>,0.8701833687848702
8829,10345,O=C(C=1C=CC=CC1)N2CCC(CC2)NC=3C=CC=NC3,Z1015925242,281.353,281.353,1.593,-3.19,1,3,45.23,4,https://real.enamine.net/public-enum-files/Z1015925242,<rdkit.Chem.rdchem.Mol object at 0x17bb444a0>,0.9406372635334992
8830,10346,CC1CCCN(CC1)C(=O)C2CCN(CC2)C=3C=CC(C#N)=CN3,Z913802310,326.437,326.437,1.398,-3.3,0,4,60.23,3,https://real.enamine.net/public-enum-files/Z913802310,<rdkit.Chem.rdchem.Mol object at 0x17bb44510>,0.8383021437400804
8831,10347,O=C(C=1C=CC=NC1)N2CCN(CC2)C=3N=CC(=CC3Cl)C(F)(F)F,Z30640913,370.757,370.757,2.489,-4.034,0,4,49.33,4,https://real.enamine.net/public-enum-files/Z30640913,<rdkit.Chem.rdchem.Mol object at 0x17bb44580>,0.8147266745725512
8832,10348,CC1CCC(CC1)N2CC(CC2=O)C(=O)N3C(C)CCCC3C,Z1160951975,320.47,320.47,4.731,-3.482,0,2,40.62,3,https://real.enamine.net/public-enum-files/Z1160951975,<rdkit.Chem.rdchem.Mol object at 0x17bb445f0>,0.7837262248725836
8833,10349,COC(CN1CCC(CC1)OCC=2C=CC=CC2)C=3C=CC=CC3,Z2018505387,325.445,325.445,3.712,-3.225,0,3,21.7,7,https://real.enamine.net/public-enum-files/Z2018505387,<rdkit.Chem.rdchem.Mol object at 0x17bb44660>,0.7662432370657012
8834,10350,CCCCN(C(=O)C1=CSC(=N1)C=2N=CC=CN2)C=3C=CC=CC3,Z734953970,338.429,338.429,2.606,-4.8,0,4,58.98,7,https://real.enamine.net/public-enum-files/Z734953970,<rdkit.Chem.rdchem.Mol object at 0x17bb446d0>,0.6802427822784641
8836,10352,CC=1C(Cl)=CC=CC1S(=O)(=O)N2CCN(CC2)C(=O)CC3=CC=CC=N3,Z1021108004,393.889,393.889,2.637,-3.85,0,4,70.58,3,https://real.enamine.net/public-enum-files/Z1021108004,<rdkit.Chem.rdchem.Mol object at 0x17bb447b0>,0.7972845484027227
8837,10354,O=C(CN1CCN(CC1)C(=O)C2=NNC=3C=CC=CC23)NCC=4C=CC=CC4,Z223836366,377.441,377.441,2.604,-4.201,2,4,81.33,5,https://real.enamine.net/public-enum-files/Z223836366,<rdkit.Chem.rdchem.Mol object at 0x17bb44820>,0.7082809117157405
8838,10355,C=1C=C2OCCOC2=CC1C3CCCN3CC4CCCC4,Z432810220,287.397,287.397,4.395,-3.872,0,3,21.7,3,https://real.enamine.net/public-enum-files/Z432810220,<rdkit.Chem.rdchem.Mol object at 0x17bb44890>,0.8440997158056389
8839,10356,O=C(CN1CCN(CC1)C(=O)C2=NNC=3C=CC=CC23)NC=4C=CC=CC4Cl,Z62840626,397.859,397.859,2.699,-5.077,2,4,81.33,4,https://real.enamine.net/public-enum-files/Z62840626,<rdkit.Chem.rdchem.Mol object at 0x17bb44900>,0.708676492886278
8840,10357,CC=1C=CC=C(NC(=O)CN2CCN(CC2)C(=O)C3=NNC=4C=CC=CC34)C1C,Z62849347,391.467,391.467,2.877,-5.119,2,4,81.33,4,https://real.enamine.net/public-enum-files/Z62849347,<rdkit.Chem.rdchem.Mol object at 0x17bb44970>,0.7162887393779342
8841,10358,COC=1C=CC=CC1CCC(=O)N2CCCC3=C(F)C=C(F)C=C32,Z393470864,331.357,331.357,4.073,-4.581,0,2,29.54,5,https://real.enamine.net/public-enum-files/Z393470864,<rdkit.Chem.rdchem.Mol object at 0x17bb449e0>,0.8506559890904468
