,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
25136,CN(C(=O)C1(CC1)C=2C=CC=C(C2)C(F)(F)F)C3CCN(C)CC3,Z1116404761,340.384,340.384,2.251,-2.624,0,2,23.55,5,https://real.enamine.net/public-enum-files/Z1116404761,<rdkit.Chem.rdchem.Mol object at 0x309cf1e70>,0.8429614164089798
25137,CN(C)C1CCN(CC1)C(=O)C=2C=CC=CC2C=3C=CC(=CC3)C(F)(F)F,Z844979086,376.416,376.416,3.292,-5.718,0,2,23.55,4,https://real.enamine.net/public-enum-files/Z844979086,<rdkit.Chem.rdchem.Mol object at 0x309cf1ee0>,0.7853207040724199
25138,O=C(NC1CCN(CC=2C=CC=CC2)CC1)C=3C=C(ON3)C4CC4,Z286474128,325.406,325.406,2.206,-2.986,1,3,58.37,6,https://real.enamine.net/public-enum-files/Z286474128,<rdkit.Chem.rdchem.Mol object at 0x309cf1f50>,0.9180791095092047
25139,O=C(NC=1C=CC=C(C1)CN2CCCC2=O)C3CCCC3,Z356148534,286.37,286.37,1.532,-3.79,1,2,49.41,5,https://real.enamine.net/public-enum-files/Z356148534,<rdkit.Chem.rdchem.Mol object at 0x309cf1fc0>,0.924838414810353
25142,CC1CCN(CC=2C=CC(=CC2)CNC(=O)C=3C(F)=CC=CC3F)CC1,Z318175332,358.426,358.426,4.113,-4.531,1,2,32.34,5,https://real.enamine.net/public-enum-files/Z318175332,<rdkit.Chem.rdchem.Mol object at 0x309cf2110>,0.8717209741166991
25143,COCC=1C=CC=C(C1)C(=O)N2CCN(CC2)C3=CC=CC(Cl)=C3,Z89310757,344.836,344.836,3.446,-4.6,0,3,32.78,5,https://real.enamine.net/public-enum-files/Z89310757,<rdkit.Chem.rdchem.Mol object at 0x309cf2180>,0.8512901563282033
25145,O=C(C=1C=C(NN1)C=2C=CC(F)=CC2)N3CCN(CC3)C4=CC=CC=C4Cl,Z368171984,384.835,384.835,4.643,-6.402,1,3,52.23,4,https://real.enamine.net/public-enum-files/Z368171984,<rdkit.Chem.rdchem.Mol object at 0x309cf2260>,0.7462360560439942
25147,O=C(NCC=1C=CC=CC1CN2CCOCC2)C3CC=4C=CC=CC4O3,Z109617630,352.428,352.428,2.285,-3.427,1,4,50.8,5,https://real.enamine.net/public-enum-files/Z109617630,<rdkit.Chem.rdchem.Mol object at 0x309cf2340>,0.8957774010459804
25148,CC(C)CN1CC(CC1=O)C(=O)N2CCN(CC2)C=3C=CC=CC3Cl,Z356387768,363.882,363.882,4.771,-4.24,0,3,43.86,5,https://real.enamine.net/public-enum-files/Z356387768,<rdkit.Chem.rdchem.Mol object at 0x309cf23b0>,0.8251210636867974
25149,COC=1C=C(C=C(C1)OC)CCC(=O)N2CCN(C)CC2C=3C=CC=CC3,Z167224546,368.47,368.47,3.292,-3.134,0,4,42.01,6,https://real.enamine.net/public-enum-files/Z167224546,<rdkit.Chem.rdchem.Mol object at 0x309cf2420>,0.7855252104551312
25151,COC=1C=C(C=C(C1)C(=O)NCC=2C=CC(=CC2)CN3CCCC3)OC,Z95955128,354.444,354.444,3.526,-3.288,1,4,50.8,7,https://real.enamine.net/public-enum-files/Z95955128,<rdkit.Chem.rdchem.Mol object at 0x309cf2500>,0.8293708142454728
25152,CC=1C=CC(=CC1)C=2C=C(NN2)C(=O)N3CCN(CC3)C(=O)CN4CCOCC4,Z295279908,397.472,397.472,2.486,-3.671,1,5,81.77,4,https://real.enamine.net/public-enum-files/Z295279908,<rdkit.Chem.rdchem.Mol object at 0x309cf2570>,0.832551452001875
25153,O=C(NC=1C=CC=C(C1)CN2CCCCC2)C3CC4CCC3C4,Z383987962,312.45,312.45,4.494,-4.24,1,2,32.34,5,https://real.enamine.net/public-enum-files/Z383987962,<rdkit.Chem.rdchem.Mol object at 0x309cf25e0>,0.9095123857604763
25154,CC=1C=CC(=CC1)CC(=O)NC=2C=CC=C(C2)CN3CCCCC3,Z383988668,322.445,322.445,4.225,-3.763,1,2,32.34,6,https://real.enamine.net/public-enum-files/Z383988668,<rdkit.Chem.rdchem.Mol object at 0x309cf2650>,0.8961598296268836
25156,CC=1C=CC(=CC1C)C(=O)N2CCN(CC2)C(=O)CN3CCOCC3,Z227220036,345.437,345.437,2.101,-3.226,0,4,53.09,5,https://real.enamine.net/public-enum-files/Z227220036,<rdkit.Chem.rdchem.Mol object at 0x309cf2730>,0.8175080434520555
