sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CC=1C=CC=CC1N2C=NN=C2SCC(=O)C=3C=CC(Br)=CC3,Z17845284,388.283,388.283,4.23,-6.827,0,3,47.78,5,https://real.enamine.net/public-enum-files/Z17845284
CN(CC1=NC=2C=CC=CC2S1)C(=O)C=3C=NN4C(=CC=NC34)C=5C=CC=CC5,Z459578804,399.47,399.47,3.366,-5.378,0,4,63.39,4,https://real.enamine.net/public-enum-files/Z459578804
CC(C)C=1C=CC=CC1NC(=O)CC=2C=CC=C3C=CC=NC23,Z222980380,304.386,304.386,3.113,-4.907,1,2,41.99,4,https://real.enamine.net/public-enum-files/Z222980380
CN(C)C=1N=CC=CC1C(=O)NC2=NC=C(CC3=CC=C(F)C(Cl)=C3)S2,Z406660130,390.864,390.864,4.308,-5.35,1,4,58.12,5,https://real.enamine.net/public-enum-files/Z406660130
COC(C(=O)N1CCCC(C1)N2C=C(C)C=N2)C=3C=CC=CC3,Z1139348278,313.395,313.395,2.445,-2.572,0,3,47.36,5,https://real.enamine.net/public-enum-files/Z1139348278
N#CC=1C=CC(CC2=CN=C(NC(=O)C=3C=NC=CN3)S2)=C(C1)C(F)(F)F,Z424323912,389.356,389.356,2.459,-4.352,1,5,91.56,6,https://real.enamine.net/public-enum-files/Z424323912
O=C(NC1=NC=2C=C(F)C(F)=CC2S1)C3=CN4C=CC=NC4=N3,Z1006367294,331.302,331.302,2.408,-5.03,1,4,72.18,3,https://real.enamine.net/public-enum-files/Z1006367294
CC=1N=CSC1C(=O)NC2=NC=C(CC=3C=CC(Cl)=CC3)S2,Z607149946,349.861,349.861,3.423,-5.34,1,3,54.88,4,https://real.enamine.net/public-enum-files/Z607149946
CC1=NN(C(C)=C1NC(=O)CC2=NN3C(C)=CC(C)=NC3=N2)C=4C=CC=CC4,Z442810496,375.428,375.428,0.608,-3.427,1,5,90,4,https://real.enamine.net/public-enum-files/Z442810496
COC=1C=CC=CC1C(=O)NCC2=NC=3C=CC=CC3N2CC4=CC(C)=CC=C4C,Z111716840,399.486,399.486,4.865,-5.76,1,3,56.15,7,https://real.enamine.net/public-enum-files/Z111716840
O=C(NCC1=NN=C2CCCN12)C=3C=NN(C3)C=4C=CC=CC4,Z220594210,308.339,308.339,0.369,-1.767,1,4,77.63,4,https://real.enamine.net/public-enum-files/Z220594210
N#CCC=1C=CC=C(C1)C(=O)NC2=NC=C(CC=3C=CC(Br)=CC3)S2,Z442865398,412.304,412.304,4.238,-6.319,1,3,65.78,5,https://real.enamine.net/public-enum-files/Z442865398
CC=1C=C(ON1)C2CCCN2C(=O)C=3C=CC(=NC3)N4N=C(C)C=C4C,Z651792858,351.403,351.403,1.437,-3.016,0,4,77.05,3,https://real.enamine.net/public-enum-files/Z651792858
CC1=NN(C)C=2N=CC(=CC12)C(=O)N3CCCC3C=4C=CN=CC4,Z281600828,321.377,321.377,0.905,-2.753,0,4,63.91,2,https://real.enamine.net/public-enum-files/Z281600828
COC=1C=CC=C2SC(=NC12)NC(=O)C3=CC=4C=CC=CC4S3,Z88465994,340.422,340.422,4.868,-6.486,1,3,51.22,4,https://real.enamine.net/public-enum-files/Z88465994
CC1=CC=NC2=NC(=NN12)C(=O)OCC3=COC(=N3)C4=CC=CS4,Z18583578,341.346,341.346,0.908,-3.508,0,5,95.41,5,https://real.enamine.net/public-enum-files/Z18583578
CC1=CC=NC2=NC(=NN12)C(=O)OCC=3C=CC(Cl)=C(Cl)C3,Z18584153,337.161,337.161,2.542,-4.567,0,4,69.38,4,https://real.enamine.net/public-enum-files/Z18584153
COC1=CC(Cl)=C(C=C1NC(=O)C=2C=C(ON2)C=3C=CC=NC3)OC,Z414960614,359.764,359.764,1.949,-4.082,1,5,86.48,5,https://real.enamine.net/public-enum-files/Z414960614
COC=1C=CC=C(C1)NC(=O)C2=CSC(CC=3C=CC=CC3)=N2,Z382854106,324.399,324.399,4.112,-4.119,1,3,51.22,6,https://real.enamine.net/public-enum-files/Z382854106
CN(C(=O)C=1C=CC=CC1C=2C=CC=CC2C#N)C=3C=CC=CC3,Z88275061,312.365,312.365,3.732,-6.299,0,2,44.1,3,https://real.enamine.net/public-enum-files/Z88275061
CC=1C=CC(C)=C(C1)N2C=CN=C2S(=O)(=O)CC=3C=CC=CC3,Z608372160,326.415,326.415,4.392,-4.528,0,3,51.96,4,https://real.enamine.net/public-enum-files/Z608372160
COC=1C=C(Cl)C(C)=CC1NC(=O)CN2C(C)=NC3=CC=CC=C32,Z19649232,343.808,343.808,3.515,-3.998,1,3,56.15,4,https://real.enamine.net/public-enum-files/Z19649232
CC1=NN(C)C=2N=CC(=CC12)C(=O)N(C)C3CCC4=CC=CC=C43,Z272467654,320.389,320.389,2.192,-3.709,0,3,51.02,3,https://real.enamine.net/public-enum-files/Z272467654
O=C(NC=1C=CC=NC1N2C=NC=N2)C3=CSC(=N3)C=4C=CC=CC4,Z915432618,348.384,348.384,2.143,-5.376,1,5,85.59,5,https://real.enamine.net/public-enum-files/Z915432618
COC=1C=CC(=CC1)CC(=O)NC=2C=CC=NC2N3C=NC=N3,Z915432262,309.323,309.323,1.125,-3.423,1,5,81.93,6,https://real.enamine.net/public-enum-files/Z915432262
O=C(NC=1C=CC=NC1N2C=NC=N2)C3=CC=4C=CC=CC4S3,Z915432582,321.358,321.358,2.241,-5.549,1,4,72.7,4,https://real.enamine.net/public-enum-files/Z915432582
CC1=CN2CC(CCC2=N1)NC(=O)C3=CC=4C=CC=CC4S3,Z985660044,311.403,311.403,2.986,-3.84,1,2,46.92,3,https://real.enamine.net/public-enum-files/Z985660044
CCC1=NC=C(S1)C(=O)NC2CCC3=NC(C)=CN3C2,Z985665552,290.386,290.386,1.896,-1.61,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z985665552
CCOC=1N=CC=CC1NC(=O)C=2C=NC=3C=CC=CC3N2,Z396811526,294.309,294.309,2.551,-2.929,1,5,77,5,https://real.enamine.net/public-enum-files/Z396811526
CCOC=1C=CC=CC1C2=NN=C(O2)SCC=3C=CC=C(C3C)[N+]([O-])=O,Z441160232,371.412,371.412,3.242,-6.942,0,5,91.29,7,https://real.enamine.net/public-enum-files/Z441160232
CC=1C=CC=CC1CC2=NN=C(CN3C(=O)SC=4C=CC=CC43)O2,Z1419491539,337.397,337.397,2.74,-4.12,0,4,59.23,4,https://real.enamine.net/public-enum-files/Z1419491539
CC=1C=CC(NC(=O)C=2C=C(C=CN2)N3C=CC=N3)=C(Br)C1,Z1231050385,357.205,357.205,3.178,-4.269,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z1231050385
CCC=1C=CC(=CC1)C(=O)NC(C)C2=NN=C3C=CC=CN23,Z131517070,294.352,294.352,2.334,-4.421,1,3,59.29,5,https://real.enamine.net/public-enum-files/Z131517070
C=1C=CC(=CC1)C=2C=CC(=CC2)CSC3=NN=C(O3)C=4C=CC=5OCOC5C4,Z19456538,388.441,388.441,5.069,-8.56,0,4,57.38,5,https://real.enamine.net/public-enum-files/Z19456538
CC=1N=CSC1C2=NC(CN3C(=O)OC=4C=C(Cl)C=CC43)=NO2,Z1419451183,348.766,348.766,1.828,-3.83,0,5,81.35,3,https://real.enamine.net/public-enum-files/Z1419451183
N#CC=1C=C(C=CC1SC2=NN=C(N2)C=3C=CN=CC3)[N+]([O-])=O,Z271696998,324.319,324.319,1.726,-6.08,1,6,121.39,4,https://real.enamine.net/public-enum-files/Z271696998
CN1C=C(CNCC2=NN=CN2C=3C=CC=CC3)C(=N1)C4=CC=CN=C4,Z823394028,345.402,345.402,0.047,-2.15,1,5,73.45,6,https://real.enamine.net/public-enum-files/Z823394028
CC(C=1C=CC(Cl)=CC1Cl)N(C)CC2=NC=3C=CC=CC3O2,Z324756208,335.228,335.228,4.752,-4.461,0,2,29.27,4,https://real.enamine.net/public-enum-files/Z324756208
CC1=NN=C2C=CC(=CN12)C(=O)NC3CCCC=4C=CC=CC43,Z981765728,306.363,306.363,2.866,-4.094,1,3,59.29,3,https://real.enamine.net/public-enum-files/Z981765728
CCC1=NC2=C(C=NN2C=3C=CC=CC3)C(=O)N1CC=4C=CC(=CC4)OC,Z1013696182,360.41,360.41,3.711,-4.23,0,4,59.72,5,https://real.enamine.net/public-enum-files/Z1013696182
CC1=NN=C2C=CC(=CN12)C(=O)N(C(C)C=3C=CC=CC3Cl)C4CC4,Z1013976340,354.834,354.834,3.174,-4.444,0,3,50.5,5,https://real.enamine.net/public-enum-files/Z1013976340
CC=1C=CC(=CC1)C2=NN=C(CN(CC=3C=CC=CC3)CC=4C=CC=CC4)O2,Z223648286,369.46,369.46,4.461,-6.078,0,3,42.16,7,https://real.enamine.net/public-enum-files/Z223648286
COC=1C=CC=C(C1)CN(C)CC2=COC(=N2)C=3C=CC(F)=CC3,Z286066162,326.366,326.366,3.6,-4.13,0,3,38.5,6,https://real.enamine.net/public-enum-files/Z286066162
CN(CC1=NN=C2C=CC=CN12)C=3N=CN=C4C=CSC34,Z1015089306,296.352,296.352,1.95,-3.37,0,5,59.21,3,https://real.enamine.net/public-enum-files/Z1015089306
CC=1C=C(Br)C=CC1C(=O)NC=2C=CC=C(C2)C3=NN=NN3C,Z641958104,372.22,372.22,3.674,-5.496,1,4,72.7,4,https://real.enamine.net/public-enum-files/Z641958104
C=CCN1C(=NN=C1C=2C=CC=CC2OC)SCC3=CN=C(Cl)S3,Z1418253339,378.902,378.902,2.792,-6.867,0,4,52.83,7,https://real.enamine.net/public-enum-files/Z1418253339
CC1=CC=NC2=NC(=NN12)C(=O)N3CCCC4=C(F)C=C(F)C=C43,Z393469920,329.305,329.305,1.33,-4.303,0,4,63.39,2,https://real.enamine.net/public-enum-files/Z393469920
CCC=1C=CC(=CC1)C2=NOC(CN3N=C(C=CC3=O)C(N)=O)=N2,Z1020863610,325.323,325.323,0.557,-3.913,1,5,114.68,5,https://real.enamine.net/public-enum-files/Z1020863610
NC(=O)C=1C=CC(=O)N(CC2=CSC(=N2)C3=CC=CO3)N1,Z1020863950,302.31,302.31,-0.093,-2.592,1,4,101.79,4,https://real.enamine.net/public-enum-files/Z1020863950
COC=1C=CC=CC1C2=NOC(CNC=3C=CC=C(C3)C4=NN=NN4C)=N2,Z358284476,363.374,363.374,1.943,-4.27,1,7,103.78,6,https://real.enamine.net/public-enum-files/Z358284476
CC(=O)NC=1C=CC=2N=C(NC(=O)C3=CC(C)=NO3)SC2C1,Z240494616,316.337,316.337,1.987,-3.792,2,4,97.12,5,https://real.enamine.net/public-enum-files/Z240494616
CC=1N=C(NC=2C=NN(C2)CCO)C=3C=NN(C4=CC=CC(Cl)=C4)C3N1,Z820660986,369.809,369.809,2.927,-3.47,2,6,93.68,5,https://real.enamine.net/public-enum-files/Z820660986
COC=1C=CC=CC1C2CC2C(=O)N(C)C3=NC=4C=CC=CC4S3,Z1021953430,338.425,338.425,2.706,-4.97,0,3,42.43,4,https://real.enamine.net/public-enum-files/Z1021953430
COC=1C=CC(OC)=C(C1)C2=CC(=NO2)C(=O)OCC3=NC(Cl)=CC=C3Cl,Z1021279624,409.22,409.22,3.843,-5.6,0,5,83.68,7,https://real.enamine.net/public-enum-files/Z1021279624
CC=1NN=C2N=CC(=CC12)C(=O)NCC3=NC=CN3C=4C=CC=CC4,Z2019062922,332.36,332.36,2.506,-3.398,2,4,88.49,5,https://real.enamine.net/public-enum-files/Z2019062922
COC=1C=CC(=CC1N2N=NN=C2C)NC(=O)C3=CC=C(F)C(F)=C3,Z1022427410,345.304,345.304,2.369,-3.953,1,5,81.93,5,https://real.enamine.net/public-enum-files/Z1022427410
CN(CCN1C=CC=N1)C2=NN=C(CC=3C=CC(F)=CC3)S2,Z1665783222,317.386,317.386,2.819,-3.031,0,4,46.84,6,https://real.enamine.net/public-enum-files/Z1665783222
CN(C(=O)C1CC1C=2C=NN(C)C2)C=3C=CC(=CC3)OC=4C=CC=CC4,Z980146434,347.411,347.411,3.232,-3.66,0,2,47.36,5,https://real.enamine.net/public-enum-files/Z980146434
COC=1C=CC=NC1NC(=O)CC=2C(C)=NN(C2C)C=3C=CC=CC3,Z1023299962,336.389,336.389,2.371,-2.79,1,4,69.04,6,https://real.enamine.net/public-enum-files/Z1023299962
CC(NC1=NC=2C=CC=CC2S1)C(=O)N3CCC=4C=CC=CC43,Z119912840,323.414,323.414,4.147,-5.45,1,3,45.23,4,https://real.enamine.net/public-enum-files/Z119912840
O=C(NC=1C=CN(CC=2C=CC=CN2)N1)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Z971015438,414.305,414.305,3.457,-5.01,1,3,59.81,6,https://real.enamine.net/public-enum-files/Z971015438
O=C(NC=1C=CN(CC2=CC=CC=N2)N1)C3CC4CCC3C4,Z971012716,296.368,296.368,2.45,-3.55,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z971012716
CN1C=C(C(=O)NC=2C=CN(CC3=CC=CN=C3)N2)C=4C=CC=CC41,Z972631882,331.372,331.372,2.179,-2.93,1,3,64.74,5,https://real.enamine.net/public-enum-files/Z972631882
O=C(NC=1C=CN(CC=2C=CC=CN2)N1)C3=CC(Cl)=CC4=CC=CN=C34,Z971004754,363.801,363.801,2.542,-4.36,1,4,72.7,4,https://real.enamine.net/public-enum-files/Z971004754
O=C(NC=1C=CN(CCC=2C=CN=CC2)N1)C=3C=C(Cl)C=C4C=CC=NC34,Z980257978,377.827,377.827,2.681,-4.255,1,4,72.7,5,https://real.enamine.net/public-enum-files/Z980257978
O=C(NC=1C=CN(CC=2C=CC=CN2)N1)C=3C=C(F)C(Cl)=CC3Cl,Z971014338,365.189,365.189,2.408,-4.76,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z971014338
CN1C=NC(=C1NC(=O)C=2C=CN=CC2)C=3C=CC(F)=CC3,Z968762778,296.3,296.3,1.335,-3.7,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z968762778
CCOC=1N=CC=CC1NC(=O)CC2=CN3C=CC=CC3=N2,Z396813206,296.325,296.325,2.072,-2.727,1,4,68.52,6,https://real.enamine.net/public-enum-files/Z396813206
CCC=1C=CC=C(C1)NC(=O)CC2=CN3C=CC=CC3=N2,Z237496200,279.337,279.337,2.991,-3.994,1,2,46.4,5,https://real.enamine.net/public-enum-files/Z237496200
CC=1C=CC(=CC1C)NC(=O)CC2=CN3C=CC=CC3=N2,Z246757592,279.337,279.337,2.911,-3.983,1,2,46.4,4,https://real.enamine.net/public-enum-files/Z246757592
O=C(CC1=CN2C=CC=CC2=N1)NC=3C=CC=C4CCCCC34,Z247030350,305.374,305.374,3.535,-4.643,1,2,46.4,4,https://real.enamine.net/public-enum-files/Z247030350
CCN1C=C(C=N1)NC(=O)C=2C=CC=3C=C(C)C=CC3N2,Z2218343933,280.325,280.325,2.916,-3.314,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z2218343933
CC(C=1C=CC=CC1F)N(CC2=NC(=NO2)C=3C=CC(Cl)=CC3)C4CC4,Z729875512,371.836,371.836,4.947,-5.37,0,3,42.16,6,https://real.enamine.net/public-enum-files/Z729875512
CC(C=1C=CC=C(C1)C(F)(F)F)N(CC2=NC=3C=CC=CC3O2)C4CC4,Z805492016,360.374,360.374,4.793,-4.452,0,2,29.27,6,https://real.enamine.net/public-enum-files/Z805492016
ClC=1C=CC=CC1C2=NN=C(CSC3=NN=C4C=CC=CN34)O2,Z20241824,343.792,343.792,1.75,-5.97,0,4,69.11,4,https://real.enamine.net/public-enum-files/Z20241824
CN1C(=NN=C1C=2C=CN=CC2)SCC=3C=CC=C4C=CC=CC34,Z20251413,332.424,332.424,3.193,-6.089,0,3,43.6,4,https://real.enamine.net/public-enum-files/Z20251413
CC1CC=2C=CC=CC2N1CC3=NC(=NO3)C=4C=CC=NC4,Z217297012,292.336,292.336,2.896,-3.23,0,4,55.05,3,https://real.enamine.net/public-enum-files/Z217297012
CN(CC1CCCO1)C(=O)C2=CSC(=N2)C=3C=CC=C(Cl)C3,Z781517794,336.838,336.838,3.022,-4.547,0,3,42.43,5,https://real.enamine.net/public-enum-files/Z781517794
CC1=NC=C(CN(C)C=2N=CN=C3C2C=NN3C=4C=CC=CC4)S1,Z646234084,336.416,336.416,2.979,-4.177,0,5,59.73,4,https://real.enamine.net/public-enum-files/Z646234084
COC=1C=CC(=CC1)CN2CCCN(CC2)C(=O)NC=3C=CC(=CC3)S(N)(=O)=O,Z230858682,418.512,418.512,1.397,-3.344,2,5,104.97,7,https://real.enamine.net/public-enum-files/Z230858682
CC1=NN=C(SCC(=O)C=2C=CC=3OCOC3C2)N1C=4C=CC=CC4,Z24158616,353.397,353.397,3.266,-5.777,0,5,66.24,5,https://real.enamine.net/public-enum-files/Z24158616
CC=1C=C(ON1)C2CCCN2CC3=NC=C(O3)C=4C=CC=CC4,Z644726758,309.363,309.363,2.393,-2.28,0,3,55.3,4,https://real.enamine.net/public-enum-files/Z644726758
CC(C=1C=CC=CC1F)S(=O)CC=2C=CC(=CC2)N3C=CC=N3,Z1138035228,328.406,328.406,2.564,-3.699,0,2,34.89,5,https://real.enamine.net/public-enum-files/Z1138035228
CN(CC=1C=NN(C)C1)C2CCN(C2=O)C=3C=CC=C(Cl)C3,Z1348455850,318.802,318.802,2.665,-2.757,0,3,41.37,4,https://real.enamine.net/public-enum-files/Z1348455850
CC1=CC(=NO1)NC(=O)NCC2=NN=C3C=CC=CN23,Z230837446,272.263,272.263,0.23,-2.196,2,4,97.35,5,https://real.enamine.net/public-enum-files/Z230837446
COC=1C=CC=C(C1)C=2N=NN(CC3=NC=4C=C(F)C=CC4O3)N2,Z1408395373,325.298,325.298,2.847,-3.771,0,5,78.86,4,
CC1=NN=C(CSC2=NN=C(O2)C=3C=COC3C)O1,Z24592203,278.289,278.289,-0.815,-3.164,0,4,90.98,4,https://real.enamine.net/public-enum-files/Z24592203
O=C(NCC1CC=2C=CC=CC2O1)C=3C=NN4C(=CC=NC34)C=5C=CC=CC5,Z647439016,370.405,370.405,3.823,-5.448,1,4,68.52,4,https://real.enamine.net/public-enum-files/Z647439016
CC1CC(C(N)=O)C=2C=CC=CC2N1CC3=NC=4C=CC=CC4O3,Z647165658,321.374,321.374,2.244,-3.32,1,3,72.36,3,https://real.enamine.net/public-enum-files/Z647165658
C1=NN=C(N1)C=2C=CC=CC2OCC=3C=C(ON3)C=4C=CC=CC4,Z1514063004,318.33,318.33,2.55,-5.654,1,4,76.83,5,https://real.enamine.net/public-enum-files/Z1514063004
O=C1C=CC(=NN1CC2=NC(=NO2)C3=CC=CO3)C(F)(F)F,Z1513979257,312.205,312.205,0.714,-2.786,0,4,84.73,4,https://real.enamine.net/public-enum-files/Z1513979257
O=C(NC=1C=CC=NC1C=2C=CC=CC2)C=3C=NC4=CC=CC=C4N3,Z1514606915,326.352,326.352,2.889,-4.296,1,4,67.77,4,https://real.enamine.net/public-enum-files/Z1514606915
O=S(=O)(NC1CCN(CC2=NC(CC=3C=CC=CC3)=NO2)CC1)C=4C=CC(F)=CC4,Z647539284,430.498,430.498,2.401,-3.38,1,5,88.33,6,https://real.enamine.net/public-enum-files/Z647539284
CC=1C=C(C)N(N1)C=2C=C(N=C(C)N2)OC=3C=CC=CC3O,Z1037335784,296.325,296.325,2.389,-2.96,1,4,73.06,3,https://real.enamine.net/public-enum-files/Z1037335784
CC=1C=CC=C2SC(=NC12)NC(=O)C=3C=C(Cl)C=CN3,Z82225775,303.768,303.768,3.845,-4.953,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z82225775
CC=1OC(=NC1C(=O)NC=2C=CC=NC2OC=3C=CC=CC3)C=4C=CC=CC4,Z381145248,371.39,371.39,3.868,-5.93,1,3,77.25,5,https://real.enamine.net/public-enum-files/Z381145248
CN1C(=O)C=2C(=CSC2N=C1SCC=3C=CC=CN3)C4=CC=CS4,Z193738312,371.504,371.504,3.397,-6.031,0,3,45.56,4,https://real.enamine.net/public-enum-files/Z193738312
CC1=NN(C)C=2SC(=CC12)C(=O)NC=3C=CC=C(C3)OC4CCCC4,Z318187550,355.456,355.456,4.042,-5.12,1,3,56.15,4,https://real.enamine.net/public-enum-files/Z318187550
CC1=C(C=NN1C)C(C)NC(=O)C=2C=CC(=CC2)CN3CC(C)OC(C)C3,Z372633724,370.489,370.489,2.257,-2.148,1,4,59.39,5,https://real.enamine.net/public-enum-files/Z372633724
O=C(C=1C=CC(=NN1)N2CCCC2)N3CCCC4=CC=C(F)C=C43,Z1037373046,326.369,326.369,2.045,-4.334,0,4,49.33,3,https://real.enamine.net/public-enum-files/Z1037373046
CC1=NC(CN(C)C(=O)C=2C=CC=C3C2C=CN3C)=NC4=CC=CC=C14,Z1038632230,344.411,344.411,2.817,-3.97,0,3,51.02,3,https://real.enamine.net/public-enum-files/Z1038632230
FC=1C=CC=CC1CN2C(COC=3C=CC=CC3)=NC=4C=CC=CC42,Z25721547,332.372,332.372,4.929,-4.884,0,2,27.05,5,https://real.enamine.net/public-enum-files/Z25721547
CC(C)C=1N=CC(Cl)=C(N1)C(=O)NC(C)C2COC3=CC=CC=C32,Z1515559229,345.824,345.824,2.815,-4.463,1,4,64.11,5,https://real.enamine.net/public-enum-files/Z1515559229
CN1C=CC=2C(=CC=CC21)C(=O)NCC=3C=CC=CC3CN4C=CN=C4,Z1038137938,344.411,344.411,2.808,-3.48,1,2,51.85,5,https://real.enamine.net/public-enum-files/Z1038137938
CC(NC(=O)C=1C=CC=CC1)C2=NC=3C=CC=CC3N2CC=4C=CC=CC4,Z25778702,355.433,355.433,4.095,-5.11,1,2,46.92,5,https://real.enamine.net/public-enum-files/Z25778702
CC(NC(=O)C=1C=CC=CC1)C2=NC=3C=CC=CC3N2CC=4C=CC=CC4Cl,Z25778709,389.878,389.878,4.808,-5.81,1,2,46.92,5,https://real.enamine.net/public-enum-files/Z25778709
COC=1C=CC=2N=C(C)C(=CC2C1)C(=O)N(C)C3CCCC=4C=CC=CC43,Z216539280,360.45,360.45,4.783,-5.2,0,3,42.43,3,https://real.enamine.net/public-enum-files/Z216539280
CC=1N=C(C=CC1C(=O)NCC2=CC(=NO2)C=3C=CC=CC3)C=4C=CC=CC4,Z649227438,369.417,369.417,4.41,-5.597,1,3,68.02,5,https://real.enamine.net/public-enum-files/Z649227438
CN(CC1OCCC=2C=CC=CC21)C(=O)C=3C=CC=C(C3)N4C=CN=N4,Z1517465142,348.399,348.399,2.54,-3.518,0,4,60.25,4,https://real.enamine.net/public-enum-files/Z1517465142
O=C(NCC1=NC=C(O1)C=2C=CC=CC2)C3CCCCC3C(F)(F)F,Z749730944,352.352,352.352,2.901,-4.9,1,2,55.13,6,https://real.enamine.net/public-enum-files/Z749730944
O=C(NCC=1C=CC(=CC1)N2C=CC=N2)C=3C=NC=C(Br)C3,Z414860292,357.205,357.205,3.072,-3.35,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z414860292
CC=1C=CC=C(C1)OCC(=O)N2CCCC(CNS(C)(=O)=O)C2,Z438091776,340.44,340.44,1.093,-3.065,1,4,75.71,7,https://real.enamine.net/public-enum-files/Z438091776
CS(=O)(=O)NCC1CCCN(C1)C(=O)C=2C=CC=CC2COC=3C=CC=CC3,Z438096004,402.509,402.509,1.915,-4.274,1,4,75.71,6,https://real.enamine.net/public-enum-files/Z438096004
CC=1C=C(C(=O)NC=2N=CC=CC2C)C=3C=CC(F)=CC3N1,Z1038272940,295.312,295.312,2.707,-4.3,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z1038272940
COC=1C=C(C=CC1OCC2=NN=C(O2)C3=CC=CS3)C(C)=O,Z26050639,330.36,330.36,1.719,-4.01,0,5,74.45,6,https://real.enamine.net/public-enum-files/Z26050639
CCN1C=CC=2C=C(C=CC21)NC(=O)C=3C=C(CN4C=C(C)C=N4)ON3,Z1517312264,349.387,349.387,2.788,-2.93,1,3,77.88,5,https://real.enamine.net/public-enum-files/Z1517312264
CC=1C=CC(=CC1)OCC2=NC=3C=CC=CC3N2CC=4C=CC(Cl)=CC4Cl,Z26133040,397.297,397.297,6.711,-6.52,0,2,27.05,5,https://real.enamine.net/public-enum-files/Z26133040
CC=1C=CC(=CC1)OCC2=NC=3C=CC=CC3N2CC=4C=CC(F)=CC4,Z26133042,346.398,346.398,5.428,-5.38,0,2,27.05,5,https://real.enamine.net/public-enum-files/Z26133042
CC=1C=C2N=CN(CC(=O)NC=3C(Cl)=CC(Cl)=CC3Cl)C2=CC1C,Z26251995,382.671,382.671,4.117,-6.464,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z26251995
